"short_name","preferred_foot","age","height_cm","pace","shooting","passing","dribbling","defending","weight_kg","wage_eur","team_jersey_number","league_name"
"Oyarzabal","Left",23,181.15193602103224,81,82,80,84,41,79.19195646645203,47000,10,"Spain Primera Division"
"N. Süle","Right",24,195.0667601259601,69,42,59,49,85,96.77184431517657,84000,4,"German 1. Bundesliga"
"Arthur","Right",23,171.1664515128875,66,73,82,87,75,73.39688683048202,98000,5,"Italian Serie A"
"L. Goretzka","Right",25,189.46244832565904,78,78,80,82,77,75.97456209851507,105000,18,"German 1. Bundesliga"
"A. Martial","Right",24,183.60039777619392,89,83,74,87,41,76.10380816197055,155000,9,"English Premier League"
"J. Brandt","Right",24,185.329938929219,81,78,82,87,51,82.6377411399279,75000,19,"German 1. Bundesliga"
"K. Coman","Right",24,178.95884794102054,93,76,77,87,29,75.28200597968987,94000,29,"German 1. Bundesliga"
"J. Giménez","Right",25,185.39213911869933,67,45,53,54,86,79.96320204193546,70000,2,"Spain Primera Division"
"W. Ndidi","Right",23,182.54918487294432,71,62,68,74,87,74.41108030977145,96000,25,"English Premier League"
"Saúl","Left",25,183.6986342479689,68,79,79,81,78,76.32027709954308,77000,8,"Spain Primera Division"
"R. Bürki","Right",29,187.0123107880402,,,,,,85.1502940601838,67000,1,"German 1. Bundesliga"
"S. de Vrij","Right",28,189.4638200792899,68,41,62,68,86,78.30156035626423,130000,6,"Italian Serie A"
"L. Digne","Left",26,178.49327811868082,78,69,80,79,80,73.93332163877908,110000,12,"English Premier League"
"R. Guerreiro","Left",26,170.25132028059963,74,78,84,87,73,71.01468553276679,86000,13,"German 1. Bundesliga"
"T. Partey","Right",27,184.8912625497851,71,74,81,81,82,77.04306071108627,81000,5,"Spain Primera Division"
"M. Brozović","Right",27,180.85868665063273,63,74,80,81,79,67.65262102697788,125000,77,"Italian Serie A"
"Fernandinho","Right",35,178.97046971539433,64,72,78,78,85,66.92485144158422,110000,25,"English Premier League"
"Jesús Navas","Right",34,172.4688476234256,87,69,79,83,80,60.01363564642202,43000,16,"Spain Primera Division"
"K. Schmeichel","Right",33,188.71524826268703,,,,,,88.99689385822256,90000,1,"English Premier League"
"S. Sirigu","Right",33,191.61621717639832,,,,,,80.07599818031426,54000,39,"Italian Serie A"
"Lucas Leiva","Right",33,179.0299857897218,60,66,76,78,83,78.40811574302634,83000,6,"Italian Serie A"
"A. Witsel","Right",31,185.77240290232913,63,73,81,79,82,81.30866448709733,79000,28,"German 1. Bundesliga"
"Rui Patrício","Left",32,189.98684095875308,,,,,,83.74537510306533,90000,11,"English Premier League"
"Azpilicueta","Right",30,177.61450533528367,67,55,77,72,84,77.16535109739333,120000,28,"English Premier League"
"Douglas Costa","Left",29,171.67787213369792,93,73,79,91,43,70.37037817354464,120000,11,"Italian Serie A"
"Iago Aspas","Left",32,176.43051910986458,82,85,78,86,35,67.10183604572092,46000,10,"Spain Primera Division"
"I. Gueye","Right",30,174.22030577634476,69,61,71,78,85,65.51744534355252,105000,27,"French Ligue 1"
"D. Alaba","Left",28,180.19173610817137,77,70,81,79,83,77.97511992452927,105000,27,"German 1. Bundesliga"
"Isco","Right",28,176.29735684612226,68,75,82,90,59,79.07867337838488,210000,22,"Spain Primera Division"
"W. Ben Yedder","Right",29,169.70318191323886,84,83,77,87,39,67.80028091976271,91000,9,"French Ligue 1"
"J. Iličić","Left",32,190.49037307749248,70,86,84,85,43,79.09299864182088,92000,72,"Italian Serie A"
"R. Jiménez","Right",29,187.88798451846574,78,82,76,82,49,81.12772349462864,140000,9,"English Premier League"
"Felipe","Right",31,190.01852193817686,62,41,58,61,86,82.65654445258582,74000,18,"Spain Primera Division"
"F. Valverde","Right",21,182.05623723696647,86,74,78,79,77,78.39661053009112,135000,15,"Spain Primera Division"
"M. Ødegaard","Left",21,178.23492727791347,78,75,84,85,58,67.69912629357287,135000,21,"Spain Primera Division"
"O. Dembélé","Left",23,177.7046017324269,92,77,77,87,36,66.99406033423207,175000,11,"Spain Primera Division"
"Gayà","Left",25,172.192797062572,84,61,78,80,79,65.53803298185353,46000,14,"Spain Primera Division"
"T. Strakosha","Right",25,193.16809738610675,,,,,,78.4338518742667,57000,1,"Italian Serie A"
"Pau López","Left",25,189.49342509838195,,,,,,77.341387364149,52000,13,"Italian Serie A"
"J. Gomez","Right",23,188.47600147916657,82,30,66,69,83,76.67075324292905,93000,12,"English Premier League"
"S. Bergwijn","Right",22,178.466970461374,87,79,78,85,39,77.95494754998438,105000,23,"English Premier League"
"F. Mendy","Left",25,179.56374056063416,92,64,76,79,78,73.41803938855207,160000,23,"Spain Primera Division"
"A. Wan-Bissaka","Right",22,182.79782279926357,86,51,68,80,82,72.05971815085536,115000,29,"English Premier League"
"A. Hakimi","Right",21,181.37961961438313,94,70,76,82,72,73.20404885446587,92000,98,"Italian Serie A"
"A. Romagnoli","Left",25,188.40569146852252,70,40,56,69,85,78.13842236275447,51000,13,"Italian Serie A"
"D. Alli","Right",24,188.2558296349797,72,80,79,83,71,80.1040517057749,105000,20,"English Premier League"
"D. van de Beek","Right",23,183.9135703081315,70,80,78,78,72,74.10849921811766,125000,34,"English Premier League"
"D. Zakaria","Right",23,190.18021265986903,83,64,75,77,81,79.7278251721112,45000,8,"German 1. Bundesliga"
"Gabriel Jesus","Right",23,174.6514397499634,85,82,72,87,42,72.67694582876423,150000,9,"English Premier League"
"S. Umtiti","Left",26,181.64857210847597,66,62,69,69,83,74.92660729887331,170000,23,"Spain Primera Division"
"M. Kovačić","Right",26,175.94097843573607,75,69,83,88,69,80.44052051616048,120000,17,"English Premier League"
"João Cancelo","Right",26,181.8285609279898,86,65,79,83,77,73.61052116405732,140000,27,"English Premier League"
"Nélson Semedo","Right",26,177.49778458067414,92,57,69,82,77,67.46860672013145,170000,2,"Spain Primera Division"
"K. Casteels","Left",28,197.06783015735897,,,,,,86.49966759665729,53000,1,"German 1. Bundesliga"
"A. Lopes","Left",29,184.1640778503903,,,,,,80.72554378785958,69000,1,"French Ligue 1"
"M. Sabitzer","Right",26,177.51752490911343,80,83,80,80,65,76.31696533267133,73000,7,"German 1. Bundesliga"
"Diego Carlos","Right",27,185.17077165792577,77,47,63,67,82,85.92733693672515,39000,20,"Spain Primera Division"
"K. Manolas","Right",29,189.25266656495864,82,25,42,60,85,83.21593035503672,84000,44,"Italian Serie A"
"J. Matip","Right",28,194.04407167277813,60,46,68,68,85,90.3826525052917,115000,32,"English Premier League"
"Juan Bernat","Left",27,170.13297173786782,81,64,79,83,76,67.03145680387797,95000,14,"French Ligue 1"
"N. Fekir","Left",26,173.3790675155131,79,82,81,87,38,74.52291410269864,38000,8,"Spain Primera Division"
"Z. Ibrahimović","Right",38,195.11155432106446,52,88,77,79,34,95.28448525887354,49000,11,"Italian Serie A"
"João Moutinho","Right",33,169.93066814267283,56,75,86,83,72,61.40928891968219,110000,28,"English Premier League"
"S. Mandanda","Right",35,184.93781554260116,,,,,,82.48098604564836,28000,30,"French Ligue 1"
"G. Bale","Left",30,185.1808278735256,88,84,82,80,58,81.99054326536007,130000,9,"English Premier League"
"Marcelo","Left",32,174.38366570412654,79,73,80,88,76,74.86230275179744,170000,12,"Spain Primera Division"
"R. Nainggolan","Right",32,175.66157109655038,71,80,80,83,83,64.87960864082075,125000,44,"Italian Serie A"
"E. Džeko","Right",34,192.80621874615974,59,84,71,75,46,80.06209476324003,81000,9,"Italian Serie A"
"A. Vidal","Right",33,179.7335542413848,65,79,79,78,83,74.93702278836219,125000,22,"Italian Serie A"
"Yuri Berchiche","Left",30,181.48871966135286,83,68,76,76,80,79.89772128647977,35000,17,"Spain Primera Division"
"Fernando","Right",32,183.3541250538147,66,62,74,73,82,75.67459745135565,39000,25,"Spain Primera Division"
"K. Trippier","Right",29,173.02658503542563,73,60,81,77,79,70.87303423369909,71000,23,"Spain Primera Division"
"I. Gündoğan","Right",29,180.1288853256549,66,74,84,84,72,80.0073804251776,160000,8,"English Premier League"
"K. Trapp","Right",29,188.58780625062246,,,,,,88.21454192765968,35000,1,"German 1. Bundesliga"
"Coutinho","Right",28,172.22191656769718,72,79,82,89,52,68.30025348206766,190000,17,"Spain Primera Division"
"Muniain","Right",27,170.0647142997546,81,75,80,87,51,65.74561612432609,41000,10,"Spain Primera Division"
"L. Hrádecký","Right",30,192.10242083123325,,,,,,81.872348902534,63000,1,"German 1. Bundesliga"
"A. Lacazette","Right",29,175.7855451761045,76,82,75,84,46,77.20644481599929,125000,9,"English Premier League"
"Aitor","Right",29,182.4140660873394,,,,,,77.5621339460804,31000,13,"Spain Primera Division"
"W. Zaha","Right",27,180.14747598774682,90,75,72,87,34,65.73890323517918,82000,11,"English Premier League"
"C. Aránguiz","Right",31,171.00549353356556,60,72,82,81,78,69.59605415390907,78000,20,"German 1. Bundesliga"
"Sergi Roberto","Right",28,178.43854742205428,77,63,81,78,77,67.64112493998813,175000,20,"Spain Primera Division"
"F. Acerbi","Left",32,192.39679267347714,62,50,62,63,86,88.04822138600261,75000,33,"Italian Serie A"
"Allan","Right",29,174.81458893104875,73,71,77,82,85,74.19865398762755,115000,6,"English Premier League"
"Lucas Moura","Right",27,174.10387497803805,92,78,72,87,43,70.2863799189751,120000,27,"English Premier League"
"T. Hazard","Right",27,174.63091044978646,84,77,81,86,52,71.3519248006717,78000,10,"German 1. Bundesliga"
"Portu","Right",28,167.03126316684262,90,79,81,82,59,65.9588717405856,50000,7,"Spain Primera Division"
"Jorginho","Right",28,179.7058639273951,55,65,84,80,72,68.17920242816754,125000,5,"English Premier League"
"Gerard Moreno","Left",28,179.73611481726587,76,84,76,80,46,76.69730457254718,56000,7,"Spain Primera Division"
"F. Kostić","Left",27,183.74649385425823,88,76,79,83,68,82.10425705795959,45000,10,"German 1. Bundesliga"
"D. Zapata","Right",29,189.46354989102434,75,81,59,78,37,87.50007157592181,87000,91,"Italian Serie A"
"M. Dúbravka","Right",31,189.54391193276786,,,,,,80.3683277170417,47000,1,"English Premier League"
"M. Acuña","Left",28,171.9703111262376,76,74,82,86,78,69.46181122217587,41000,19,"Spain Primera Division"
"Reguilón","Left",23,178.233053947781,85,55,73,78,78,68.33285803750579,85000,3,"English Premier League"
"Fabián","Left",24,188.78330566273107,63,78,78,83,74,70.11227464725165,70000,8,"Italian Serie A"
"L. Hernández","Left",24,181.68595289980703,77,54,70,71,83,76.23010743120648,70000,21,"German 1. Bundesliga"
"Rúben Neves","Right",23,180.09249949588514,61,75,84,77,71,79.73622096387898,89000,8,"English Premier League"
"G. Lo Celso","Left",24,176.9815512674692,77,77,82,85,65,67.90410365178376,95000,18,"English Premier League"
"A. Areola","Right",27,195.3105215818141,,,,,,93.84283709516147,93000,1,"English Premier League"
"Kepa","Right",25,185.64970311471689,,,,,,88.44798773677338,76000,1,"English Premier League"
"M. Maignan","Right",24,191.31538939674024,,,,,,90.7302148458498,31000,16,"French Ligue 1"
"Marco Asensio","Left",24,181.87811750668013,79,80,81,83,43,75.57977322410302,160000,11,"Spain Primera Division"
"K. Laimer","Right",23,179.61739390095676,85,68,78,78,80,72.33119808075004,53000,27,"German 1. Bundesliga"
"H. Maguire","Right",27,194.0186605816752,50,53,69,71,82,99.61336842786486,120000,5,"English Premier League"
"A. Correa","Right",25,170.52337987546198,84,80,75,87,54,70.23639364749721,65000,10,"Spain Primera Division"
"G. Rulli","Right",28,189.17819429417077,,,,,,83.94877343064712,35000,13,"Spain Primera Division"
"N. Pépé","Left",25,182.53558633773483,89,78,75,84,33,73.47163206490612,98000,19,"English Premier League"
"Marcos Llorente","Right",25,184.49114108649493,84,74,79,81,78,74.1898948799853,65000,14,"Spain Primera Division"
"M. Perin","Right",27,187.7819548868748,,,,,,77.0189174992947,20000,1,"Italian Serie A"
"E. Can","Right",26,185.60312948684285,74,78,79,80,83,86.09341359573736,72000,23,"German 1. Bundesliga"
"Pacheco","Left",28,185.81814990797517,,,,,,81.26958728004045,28000,1,"Spain Primera Division"
"David Soria","Right",27,191.92247414232202,,,,,,85.16206085697998,30000,13,"Spain Primera Division"
"Morata","Right",27,189.7079046891937,80,80,71,81,31,84.17289843411473,73000,9,"Spain Primera Division"
"Gabriel Paulista","Right",29,184.95881234670898,68,49,71,65,84,72.24469320828929,46000,5,"Spain Primera Division"
"N. Pope","Right",28,199.79750365390254,,,,,,75.7012724583254,59000,1,"English Premier League"
"L. Ocampos","Right",25,187.56968205351077,82,83,78,83,63,84.4101295222901,40000,5,"Spain Primera Division"
"M. Ginter","Right",26,190.72498616608274,61,58,70,65,85,85.97055156951131,48000,28,"German 1. Bundesliga"
"D. Djené","Right",28,178.2680191423031,72,37,62,61,84,71.691972917789,39000,2,"Spain Primera Division"
"J. Pavlenka","Right",28,196.01025431933834,,,,,,81.20918333811362,32000,1,"German 1. Bundesliga"
"G. Buffon","Right",42,191.59518327537984,,,,,,91.56162162222402,41000,77,"Italian Serie A"
"Raúl Albiol","Right",34,186.91183608721914,45,41,62,63,86,74.22477871631992,41000,3,"Spain Primera Division"
"I. Rakitić","Right",32,184.02479334907832,61,79,85,78,75,77.86335842443592,39000,10,"Spain Primera Division"
"M. Özil","Left",31,180.24266509956752,64,69,85,83,24,71.10801833529904,100000,10,"English Premier League"
"D. Payet","Right",33,175.33964609508124,70,79,84,85,39,76.51206389733606,59000,10,"French Ligue 1"
"L. Bender","Right",31,185.39347317133678,60,64,72,72,84,78.1906036545536,72000,8,"German 1. Bundesliga"
"Sergio Asenjo","Right",31,188.93154588063805,,,,,,86.72063170689502,34000,1,"Spain Primera Division"
"Willian","Right",31,175.20921014414577,82,79,80,85,49,76.92946408689846,110000,12,"English Premier League"
"I. Perišić","Left",31,185.693975676709,79,81,78,78,62,79.9013604199983,115000,14,"Italian Serie A"
"J. Boateng","Right",31,192.45645125387497,70,50,72,65,82,89.80460225027551,82000,17,"German 1. Bundesliga"
"A. Kolarov","Left",34,186.6268569945141,68,74,81,76,82,81.08589768060222,105000,11,"Italian Serie A"
"A. Ramsey","Right",29,182.78245711223929,68,77,79,80,68,75.72411512067912,98000,8,"Italian Serie A"
"Canales","Left",29,175.9569240835995,78,80,83,83,65,64.63493090084663,36000,10,"Spain Primera Division"
"O. Baumann","Right",30,187.35284370748914,,,,,,81.82959218915761,37000,1,"German 1. Bundesliga"
"Neto","Right",30,190.49069278858516,,,,,,84.25427262899481,125000,13,"Spain Primera Division"
"Rodrigo","Left",29,182.04165085693188,91,79,76,81,44,77.26096624578197,140000,20,"English Premier League"
"J. Rodríguez","Left",28,179.5361136502353,53,86,85,86,50,75.01860073916657,105000,19,"English Premier League"
"K. Bellarabi","Right",30,184.26291326372976,90,76,74,85,34,81.30183214451552,78000,38,"German 1. Bundesliga"
"T. Vaclík","Right",31,187.6359310358656,,,,,,85.18952779427522,29000,1,"Spain Primera Division"
"F. Thauvin","Left",27,179.22201861935716,82,80,81,82,41,69.83705501170319,59000,26,"French Ligue 1"
"Y. Carrasco","Right",26,180.92688602387918,91,81,75,84,36,71.64137186072495,67000,21,"Spain Primera Division"
"M. Halstenberg","Left",28,187.9166127610362,66,66,73,72,81,86.52343741590455,64000,23,"German 1. Bundesliga"
"A. Kramarić","Right",29,177.0550166225539,71,85,73,85,30,72.55331868226564,56000,27,"German 1. Bundesliga"
"R. Gosens","Left",25,183.20974805485747,83,74,78,77,77,75.84770952215949,68000,8,"Italian Serie A"
"João Félix","Right",20,180.63875780217614,81,81,74,83,40,69.9372377495314,51000,7,"Spain Primera Division"
"A. Davies","Left",19,180.9974515676507,96,67,69,83,76,72.23553677507522,40000,19,"German 1. Bundesliga"
"H. Aouar","Right",22,175.21294313184592,76,75,80,84,66,70.44592380193235,65000,8,"French Ligue 1"
"Cucurella","Left",21,172.27564758166326,81,67,78,80,73,66.21893579359482,28000,15,"Spain Primera Division"
"Ferran Torres","Right",20,183.76968350800826,82,76,78,80,34,76.85781438956485,97000,21,"English Premier League"
"Richarlison","Right",23,181.49692617433675,83,78,72,81,50,70.75502203679657,90000,7,"English Premier League"
"M. Diaby","Left",20,169.94826314446723,93,66,74,85,43,67.01327868594377,54000,19,"German 1. Bundesliga"
"Gonçalo Guedes","Right",23,178.5871606953282,87,79,76,81,36,68.09055364229583,39000,7,"Spain Primera Division"
"C. Pulisic","Right",21,177.1158180371143,89,70,72,85,37,69.34950147007508,83000,10,"English Premier League"
"Renan Lodi","Left",22,172.8623448722577,84,67,76,81,75,68.45478793730102,49000,12,"Spain Primera Division"
"T. Souček","Right",25,191.58740589125895,65,69,73,73,80,85.67575047115913,46000,28,"English Premier League"
"A. Cragno","Right",26,184.1503421798717,,,,,,78.48416524447963,32000,28,"Italian Serie A"
"M. Dembélé","Right",23,182.715143134172,81,79,62,76,30,73.68899679021649,71000,9,"French Ligue 1"
"T. Lemar","Left",24,170.54181492970002,80,76,81,84,59,62.14077766186604,54000,11,"Spain Primera Division"
"Y. Tielemans","Right",23,175.54257400536167,64,78,82,79,69,71.86290454214617,82000,8,"English Premier League"
