"Age","Fare","survived","gender","SiblingsSpouse","ParentsChildren","GroupSize","FareClass"
40,15.5,false,"M",1,1,3,3
36,7.8958,false,"M",0,0,1,3
32,13,true,"F",0,0,1,2
19,13,false,"M",0,0,1,2
19,7.8542,true,"F",1,0,2,3
3,26,true,"M",1,1,3,2
44,27.7208,true,"F",0,0,1,1
58,146.5208,true,"F",0,0,1,1
28,7.75,false,"M",0,0,1,3
42,8.4042,false,"M",0,1,2,3
28,7.75,true,"F",0,0,1,3
24,13,false,"F",0,0,1,2
28,9.5,false,"M",0,0,1,3
28,69.55,false,"M",8,2,11,3
34,6.4958,false,"M",0,0,1,3
45.5,7.225,false,"M",0,0,1,3
18,8.05,true,"M",0,0,1,3
2,10.4625,false,"F",0,1,2,3
32,15.85,false,"M",1,0,2,3
26,18.7875,true,"M",0,0,1,3
16,7.75,true,"F",0,0,1,3
40,31,true,"M",0,0,1,1
24,7.05,false,"M",0,0,1,3
35,21,true,"F",0,0,1,2
22,7.25,false,"M",0,0,1,3
30,13,false,"M",0,0,1,2
28,7.75,false,"M",1,0,2,3
31,113.275,true,"F",1,0,2,1
27,7.925,true,"F",0,0,1,3
42,27,false,"M",1,0,2,2
32,76.2917,true,"F",0,0,1,1
30,10.5,false,"M",0,0,1,2
16,8.05,true,"M",0,0,1,3
27,13,false,"M",0,0,1,2
51,8.05,false,"M",0,0,1,3
28,7.8958,false,"M",0,0,1,3
38,90,true,"M",1,0,2,1
22,9.35,false,"M",0,0,1,3
19,10.5,true,"M",0,0,1,2
20.5,7.25,false,"M",0,0,1,3
18,13,false,"M",0,0,1,2
28,25.4667,false,"F",3,1,5,3
35,83.475,true,"F",1,0,2,1
29,7.775,false,"M",0,0,1,3
59,13.5,false,"M",0,0,1,2
5,31.3875,true,"F",4,2,7,3
24,10.5,false,"M",0,0,1,2
28,7.55,false,"F",0,0,1,3
44,26,false,"M",1,0,2,2
8,26.25,true,"F",0,2,3,2
19,10.5,false,"M",0,0,1,2
33,12.275,false,"M",0,0,1,2
28,14.4542,false,"F",1,0,2,3
28,15.5,true,"F",1,0,2,3
29,10.5,false,"M",0,0,1,2
22,7.125,false,"M",0,0,1,3
30,7.225,false,"M",0,0,1,3
44,90,false,"M",2,0,3,1
25,7.775,false,"F",0,0,1,3
24,14.5,true,"F",0,2,3,2
37,52.5542,true,"M",1,1,3,1
54,26,false,"M",1,0,2,2
28,7.25,false,"M",0,0,1,3
29,10.4625,false,"F",1,1,3,3
62,26.55,false,"M",0,0,1,1
30,16.1,false,"M",1,0,2,3
41,20.2125,false,"F",0,2,3,3
29,15.2458,true,"F",0,2,3,3
28,79.2,true,"F",0,0,1,1
30,86.5,true,"F",0,0,1,1
35,512.3292,true,"F",0,0,1,1
50,26,true,"F",0,1,2,2
28,7.75,false,"M",0,0,1,3
3,31.3875,true,"M",4,2,7,3
52,79.65,false,"M",1,1,3,1
40,0,false,"M",0,0,1,1
28,7.75,false,"F",0,0,1,3
36,10.5,false,"M",0,0,1,2
16,39.6875,false,"M",4,1,6,3
25,7.775,true,"M",1,0,2,3
58,153.4625,true,"F",0,1,2,1
35,135.6333,true,"F",0,0,1,1
28,31,false,"M",0,0,1,1
25,0,true,"M",0,0,1,3
41,19.5,true,"F",0,1,2,2
37,29.7,false,"M",0,1,2,1
28,7.75,true,"F",0,0,1,3
63,77.9583,true,"F",1,0,2,1
45,7.75,false,"F",0,0,1,3
28,0,false,"M",0,0,1,2
7,29.125,false,"M",4,1,6,3
35,20.25,true,"F",1,1,3,3
65,7.75,false,"M",0,0,1,3
28,7.8542,false,"M",0,0,1,3
16,9.5,false,"M",0,0,1,3
19,8.05,true,"M",0,0,1,3
28,26,false,"M",0,0,1,1
33,8.6625,false,"M",0,0,1,3
30,9.5,true,"M",0,0,1,3
22,7.8958,false,"M",0,0,1,3
42,13,true,"M",0,0,1,2
22,7.75,true,"F",0,0,1,3
26,78.85,true,"F",0,0,1,1
19,91.0792,true,"F",1,0,2,1
36,12.875,false,"M",0,0,1,2
24,8.85,false,"F",0,0,1,3
24,7.8958,false,"M",0,0,1,3
28,27.7208,false,"M",0,0,1,1
23.5,7.2292,false,"M",0,0,1,3
2,151.55,false,"F",1,2,4,1
28,30.5,true,"M",0,0,1,1
50,247.5208,true,"F",0,1,2,1
28,7.75,true,"F",0,0,1,3
28,23.25,true,"M",2,0,3,3
19,0,false,"M",0,0,1,3
28,12.35,true,"F",0,0,1,2
28,8.05,false,"M",0,0,1,3
0.92,151.55,true,"M",1,2,4,1
28,110.8833,true,"F",0,0,1,1
17,108.9,true,"F",1,0,2,1
30,24,false,"M",1,0,2,2
30,56.9292,true,"F",0,0,1,1
24,83.1583,true,"F",0,0,1,1
18,262.375,true,"F",2,2,5,1
26,26,false,"F",1,1,3,2
28,7.8958,false,"M",0,0,1,3
43,26.25,false,"M",1,1,3,2
26,7.8542,true,"F",0,0,1,3
24,26,true,"F",1,0,2,2
54,14,false,"M",0,0,1,2
31,164.8667,true,"F",0,2,3,1
40,134.5,true,"F",1,1,3,1
22,7.25,false,"M",0,0,1,3
27,7.8958,false,"M",0,0,1,3
30,12.35,true,"F",0,0,1,2
22,29,true,"F",1,1,3,2
28,69.55,false,"M",8,2,11,3
36,135.6333,true,"F",0,0,1,1
61,6.2375,false,"M",0,0,1,3
36,13,true,"F",0,0,1,2
31,20.525,true,"F",1,1,3,3
16,57.9792,true,"F",0,1,2,1
28,23.25,true,"F",2,0,3,3
45.5,28.5,false,"M",0,0,1,1
38,153.4625,false,"M",0,1,2,1
16,18,false,"M",2,0,3,3
28,133.65,true,"F",1,0,2,1
28,7.8958,false,"M",0,0,1,3
29,66.6,false,"M",1,0,2,1
41,134.5,true,"F",0,0,1,1
45,8.05,true,"M",0,0,1,3
45,35.5,false,"M",0,0,1,1
2,26,true,"M",1,1,3,2
24,263,true,"F",3,2,6,1
28,13,false,"M",0,0,1,2
25,13,false,"M",0,0,1,2
36,13,false,"M",0,0,1,2
24,13,true,"F",0,0,1,2
40,13,true,"F",0,0,1,2
28,16.1,true,"F",1,0,2,3
3,15.9,true,"M",1,1,3,3
42,8.6625,false,"M",0,0,1,3
23,9.225,false,"M",0,0,1,3
28,35,false,"M",0,0,1,1
15,7.2292,false,"M",1,1,3,3
25,17.8,false,"M",1,0,2,3
28,7.225,false,"M",0,0,1,3
28,9.5,false,"M",0,0,1,3
22,55,true,"F",0,1,2,1
38,13,false,"F",0,0,1,2
28,7.8792,true,"F",0,0,1,3
28,7.8792,true,"F",0,0,1,3
40,27.9,false,"M",1,4,6,3
29,27.7208,false,"M",1,0,2,2
45,14.4542,false,"F",0,1,2,3
35,7.05,false,"M",0,0,1,3
28,15.5,false,"M",1,0,2,3
30,7.25,false,"M",0,0,1,3
60,75.25,true,"F",1,0,2,1
28,7.2292,true,"F",0,0,1,3
28,7.75,true,"F",0,0,1,3
24,69.3,true,"F",0,0,1,1
25,55.4417,true,"M",1,0,2,1
18,6.4958,false,"M",1,0,2,3
19,8.05,false,"M",0,0,1,3
22,135.6333,false,"M",0,0,1,1
3,21.075,false,"F",3,1,5,3
28,82.1708,true,"F",1,0,2,1
22,7.25,true,"F",0,0,1,3
27,211.5,false,"M",0,2,3,1
20,4.0125,false,"M",0,0,1,3
19,7.775,false,"M",0,0,1,3
42,227.525,true,"F",0,0,1,1
1,15.7417,true,"F",0,2,3,3
32,7.925,false,"M",0,0,1,3
35,52,true,"F",1,0,2,1
28,7.8958,false,"M",0,0,1,3
18,73.5,false,"M",0,0,1,2
1,46.9,false,"M",5,2,8,3
36,13,true,"F",0,0,1,2
28,7.7292,false,"M",0,0,1,3
17,12,true,"F",0,0,1,2
36,120,true,"M",1,2,4,1
21,7.7958,true,"M",0,0,1,3
28,7.925,false,"M",2,0,3,3
23,113.275,true,"F",1,0,2,1
24,16.7,true,"F",0,2,3,3
22,7.7958,false,"M",0,0,1,3
31,7.8542,false,"F",0,0,1,3
46,26,false,"M",0,0,1,2
23,10.5,false,"M",0,0,1,2
28,12.65,true,"F",0,0,1,2
39,7.925,true,"M",0,0,1,3
26,8.05,false,"M",0,0,1,3
21,9.825,false,"F",1,0,2,3
28,15.85,false,"M",1,0,2,3
20,8.6625,false,"F",0,0,1,3
34,21,false,"M",1,0,2,2
51,7.75,false,"M",0,0,1,3
3,18.75,true,"M",1,1,3,2
21,7.775,false,"M",0,0,1,3
28,25.4667,false,"F",3,1,5,3
28,7.8958,false,"M",0,0,1,3
28,6.8583,false,"M",0,0,1,3
33,90,true,"F",1,0,2,1
28,0,false,"M",0,0,1,2
44,7.925,true,"M",0,0,1,3
28,8.05,false,"F",0,0,1,3
34,32.5,true,"F",1,1,3,2
18,13,true,"F",0,2,3,2
30,13,false,"M",0,0,1,2
10,24.15,false,"F",0,2,3,3
28,7.8958,false,"M",0,0,1,3
21,7.7333,false,"M",0,0,1,3
29,7.875,false,"M",0,0,1,3
28,14.4,false,"F",1,1,3,3
18,20.2125,false,"M",1,1,3,3
28,7.25,false,"M",0,0,1,3
28,26,true,"F",1,0,2,2
19,26,true,"F",0,0,1,2
28,7.75,false,"M",0,0,1,3
32,8.05,true,"M",0,0,1,3
28,26.55,true,"M",0,0,1,1
28,16.1,true,"F",1,0,2,3
42,26,true,"F",1,0,2,2
17,7.125,false,"M",0,0,1,3
50,55.9,false,"M",1,0,2,1
14,120,true,"F",1,2,4,1
21,34.375,false,"F",2,2,5,3
24,18.75,true,"F",2,3,6,2
64,263,false,"M",1,4,6,1
31,10.5,false,"M",0,0,1,2
45,26.25,true,"F",1,1,3,2
20,9.5,false,"M",0,0,1,3
25,7.775,false,"M",1,0,2,3
28,13,true,"F",0,0,1,2
28,8.1125,true,"M",0,0,1,3
4,81.8583,true,"M",0,2,3,1
13,19.5,true,"F",0,1,2,2
34,26.55,true,"M",0,0,1,1
5,19.2583,true,"F",2,1,4,3
52,30.5,true,"M",0,0,1,1
36,27.75,false,"M",1,2,4,2
28,19.9667,false,"M",1,0,2,3
30,27.75,false,"M",0,0,1,1
49,89.1042,true,"M",1,0,2,1
28,8.05,false,"M",0,0,1,3
29,7.8958,true,"M",0,0,1,3
65,26.55,false,"M",0,0,1,1
28,51.8625,true,"F",1,0,2,1
50,10.5,true,"F",0,0,1,2
28,7.75,false,"M",0,0,1,3
48,26.55,true,"M",0,0,1,1
34,8.05,false,"M",0,0,1,3
47,38.5,false,"M",0,0,1,1
48,13,false,"M",0,0,1,2
28,8.05,false,"M",0,0,1,3
38,7.05,false,"M",0,0,1,3
28,0,false,"M",0,0,1,2
56,26.55,false,"M",0,0,1,1
28,7.725,false,"M",0,0,1,3
0.75,19.2583,true,"F",2,1,4,3
28,7.25,false,"M",0,0,1,3
38,8.6625,false,"M",0,0,1,3
33,27.75,true,"F",1,2,4,2
23,13.7917,true,"F",0,0,1,2
22,9.8375,false,"F",0,0,1,3
28,52,false,"M",0,0,1,1
34,21,false,"M",1,0,2,2
29,7.0458,false,"M",1,0,2,3
22,7.5208,false,"M",0,0,1,3
2,12.2875,true,"F",0,1,2,3
9,46.9,false,"M",5,2,8,3
28,0,false,"M",0,0,1,2
50,8.05,false,"M",0,0,1,3
63,9.5875,true,"F",0,0,1,3
25,91.0792,true,"M",1,0,2,1
28,25.4667,false,"F",3,1,5,3
35,90,true,"F",1,0,2,1
58,29.7,false,"M",0,0,1,1
30,8.05,false,"M",0,0,1,3
9,15.9,true,"M",1,1,3,3
28,19.9667,false,"M",1,0,2,3
21,7.25,false,"M",0,0,1,3
55,30.5,false,"M",0,0,1,1
71,49.5042,false,"M",0,0,1,1
21,8.05,false,"M",0,0,1,3
28,14.4583,false,"M",0,0,1,3
54,78.2667,true,"F",1,0,2,1
28,15.1,false,"M",0,0,1,3
25,151.55,false,"F",1,2,4,1
24,7.7958,false,"M",0,0,1,3
17,8.6625,false,"M",0,0,1,3
21,7.75,false,"F",0,0,1,3
28,7.6292,false,"F",0,0,1,3
37,9.5875,false,"F",0,0,1,3
16,86.5,true,"F",0,0,1,1
18,108.9,false,"M",1,0,2,1
33,26,true,"F",0,2,3,2
28,26.55,true,"M",0,0,1,1
28,22.525,false,"M",0,0,1,3
26,56.4958,true,"M",0,0,1,3
29,7.75,true,"M",0,0,1,3
28,8.05,false,"M",0,0,1,3
36,26.2875,true,"M",0,0,1,1
54,59.4,true,"F",1,0,2,1
24,7.4958,false,"M",0,0,1,3
47,34.0208,false,"M",0,0,1,1
34,10.5,true,"F",0,0,1,2
28,24.15,false,"M",0,0,1,3
36,26,true,"F",1,0,2,2
32,7.8958,false,"M",0,0,1,3
30,93.5,true,"F",0,0,1,1
22,7.8958,false,"M",0,0,1,3
28,7.225,false,"M",0,0,1,3
44,57.9792,true,"F",0,1,2,1
28,7.2292,false,"M",0,0,1,3
40.5,7.75,false,"M",0,0,1,3
50,10.5,true,"F",0,0,1,2
28,221.7792,false,"M",0,0,1,1
39,7.925,false,"M",0,0,1,3
23,11.5,false,"M",2,1,4,2
2,26,true,"F",1,1,3,2
28,7.2292,false,"M",0,0,1,3
17,7.2292,false,"M",1,1,3,3
28,22.3583,true,"F",0,2,3,3
30,8.6625,false,"F",0,0,1,3
7,26.25,true,"F",0,2,3,2
45,26.55,false,"M",0,0,1,1
30,106.425,true,"F",0,0,1,1
28,14.5,false,"M",0,0,1,3
22,49.5,true,"F",0,2,3,1
36,71,true,"F",0,2,3,1
9,31.275,false,"F",4,2,7,3
11,31.275,false,"F",4,2,7,3
32,26,true,"M",1,0,2,2
50,106.425,false,"M",1,0,2,1
64,26,false,"M",0,0,1,1
19,26,true,"F",1,0,2,2
28,13.8625,true,"M",0,0,1,2
33,20.525,false,"M",1,1,3,3
8,36.75,true,"M",1,1,3,2
17,110.8833,true,"M",0,2,3,1
27,26,false,"M",0,0,1,2
28,7.8292,false,"M",0,0,1,3
22,7.225,true,"M",0,0,1,3
22,7.775,true,"F",0,0,1,3
62,26.55,false,"M",0,0,1,1
48,39.6,true,"F",1,0,2,1
28,227.525,false,"M",0,0,1,1
39,79.65,true,"F",1,1,3,1
36,17.4,true,"F",1,0,2,3
28,7.75,false,"M",0,0,1,3
40,7.8958,false,"M",0,0,1,3
28,13.5,false,"M",0,0,1,2
28,8.05,false,"M",0,0,1,3
28,8.05,false,"F",0,0,1,3
24,24.15,false,"M",2,0,3,3
19,7.8958,false,"M",0,0,1,3
29,21.075,false,"F",0,4,5,3
28,7.2292,false,"M",0,0,1,3
32,7.8542,true,"M",0,0,1,3
62,10.5,true,"M",0,0,1,2
53,51.4792,true,"F",2,0,3,1
36,26.3875,true,"M",0,0,1,1
28,7.75,true,"F",0,0,1,3
16,8.05,false,"M",0,0,1,3
19,14.5,false,"M",0,0,1,3
34,13,true,"F",0,0,1,2
39,55.9,true,"F",1,0,2,1
28,14.4583,false,"F",1,0,2,3
32,7.925,true,"M",0,0,1,3
25,30,true,"F",1,1,3,2
39,110.8833,true,"F",1,1,3,1
54,26,false,"M",0,0,1,2
36,40.125,false,"M",0,0,1,1
28,8.7125,false,"M",0,0,1,3
18,79.65,true,"F",0,2,3,1
47,15,false,"M",0,0,1,2
60,79.2,true,"M",1,1,3,1
22,8.05,false,"M",0,0,1,3
28,8.05,false,"M",0,0,1,3
35,7.125,false,"M",0,0,1,3
52,78.2667,true,"F",1,0,2,1
47,7.25,false,"M",0,0,1,3
28,7.75,false,"F",0,2,3,3
37,26,false,"M",1,0,2,2
36,24.15,false,"M",1,1,3,3
28,33,true,"F",0,0,1,2
49,0,false,"M",0,0,1,3
28,7.225,false,"M",0,0,1,3
49,56.9292,true,"M",1,0,2,1
24,27,true,"F",2,1,4,2
28,7.8958,false,"M",0,0,1,3
28,42.4,false,"M",0,0,1,1
44,8.05,false,"M",0,0,1,3
35,26.55,true,"M",0,0,1,1
36,15.55,false,"M",1,0,2,3
30,7.8958,false,"M",0,0,1,3
27,30.5,true,"M",0,0,1,1
22,41.5792,true,"F",1,2,4,2
40,153.4625,true,"F",0,0,1,1
39,31.275,false,"F",1,5,7,3
28,7.05,false,"M",0,0,1,3
28,15.5,true,"F",1,0,2,3
28,7.75,false,"M",0,0,1,3
35,8.05,false,"M",0,0,1,3
24,65,true,"F",1,2,4,2
34,14.4,false,"M",1,1,3,3
26,16.1,false,"F",1,0,2,3
4,39,true,"F",2,1,4,2
26,10.5,false,"M",0,0,1,2
27,14.4542,false,"M",1,0,2,3
42,52.5542,true,"M",1,0,2,1
20,15.7417,true,"M",1,1,3,3
21,7.8542,false,"M",0,0,1,3
21,16.1,false,"M",0,0,1,3
61,32.3208,false,"M",0,0,1,1
57,12.35,false,"M",0,0,1,2
21,77.9583,true,"F",0,0,1,1
26,7.8958,false,"M",0,0,1,3
28,7.7333,false,"M",0,0,1,3
80,30,true,"M",0,0,1,1
51,7.0542,false,"M",0,0,1,3
32,30.5,true,"M",0,0,1,1
28,0,false,"M",0,0,1,1
9,27.9,false,"F",3,2,6,3
28,13,true,"F",0,0,1,2
32,7.925,false,"M",0,0,1,3
31,26.25,false,"M",1,1,3,2
41,39.6875,false,"F",0,5,6,3
28,16.1,false,"M",1,0,2,3
20,7.8542,false,"M",0,0,1,3
24,69.3,true,"F",0,0,1,1
2,27.9,false,"F",3,2,6,3
28,56.4958,true,"M",0,0,1,3
0.75,19.2583,true,"F",2,1,4,3
48,76.7292,true,"M",1,0,2,1
19,7.8958,false,"M",0,0,1,3
56,35.5,true,"M",0,0,1,1
28,7.55,false,"M",0,0,1,3
23,7.55,true,"F",0,0,1,3
28,7.8958,false,"M",0,0,1,3
18,23,true,"F",0,1,2,2
21,8.4333,false,"M",0,0,1,3
28,7.8292,true,"F",0,0,1,3
18,6.75,false,"F",0,0,1,3
24,73.5,false,"M",2,0,3,2
28,7.8958,false,"M",0,0,1,3
32,15.5,false,"F",1,1,3,3
23,13,false,"M",0,0,1,2
58,113.275,false,"M",0,2,3,1
50,133.65,true,"M",2,0,3,1
40,7.225,false,"M",0,0,1,3
47,25.5875,false,"M",0,0,1,1
36,7.4958,false,"M",0,0,1,3
20,7.925,true,"M",1,0,2,3
32,73.5,false,"M",2,0,3,2
25,13,false,"M",0,0,1,2
28,7.775,false,"M",0,0,1,3
43,8.05,false,"M",0,0,1,3
28,52,true,"F",1,0,2,1
40,39,true,"F",1,1,3,2
31,52,false,"M",1,0,2,1
70,10.5,false,"M",0,0,1,2
31,13,true,"M",0,0,1,2
28,0,false,"M",0,0,1,2
18,7.775,false,"M",0,0,1,3
24.5,8.05,false,"M",0,0,1,3
18,9.8417,true,"F",0,0,1,3
43,46.9,false,"F",1,6,8,3
36,512.3292,true,"M",0,1,2,1
28,8.1375,false,"F",0,0,1,3
27,76.7292,true,"M",0,0,1,1
20,9.225,false,"M",0,0,1,3
14,46.9,false,"M",5,2,8,3
60,39,false,"M",1,1,3,2
25,41.5792,false,"M",1,2,4,2
14,39.6875,false,"M",4,1,6,3
19,10.1708,false,"M",0,0,1,3
18,7.7958,false,"M",0,0,1,3
15,211.3375,true,"F",0,1,2,1
31,57,true,"M",1,0,2,1
4,13.4167,true,"F",0,1,2,3
28,56.4958,true,"M",0,0,1,3
25,7.225,false,"M",0,0,1,3
60,26.55,false,"M",0,0,1,1
52,13.5,false,"M",0,0,1,2
44,8.05,false,"M",0,0,1,3
28,7.7333,true,"F",0,0,1,3
49,110.8833,false,"M",1,1,3,1
42,7.65,false,"M",0,0,1,3
18,227.525,true,"F",1,0,2,1
35,26.2875,true,"M",0,0,1,1
18,14.4542,false,"F",0,1,2,3
25,7.7417,false,"M",0,0,1,3
26,7.8542,false,"M",1,0,2,3
39,26,false,"M",0,0,1,2
45,13.5,true,"F",0,0,1,2
42,26.2875,true,"M",0,0,1,1
22,151.55,true,"F",0,0,1,1
28,15.2458,true,"M",1,1,3,3
24,49.5042,true,"F",0,0,1,1
28,26.55,false,"M",0,0,1,1
48,52,true,"M",1,0,2,1
29,9.4833,false,"M",0,0,1,3
52,13,false,"M",0,0,1,2
19,7.65,false,"M",0,0,1,3
38,227.525,true,"F",0,0,1,1
27,10.5,true,"F",0,0,1,2
28,15.5,false,"M",0,0,1,3
33,7.775,false,"M",0,0,1,3
6,33,true,"F",0,1,2,2
17,7.0542,false,"M",1,0,2,3
34,13,false,"M",0,0,1,2
50,13,false,"M",0,0,1,2
27,53.1,true,"M",1,0,2,1
20,8.6625,false,"M",0,0,1,3
30,21,true,"F",3,0,4,2
28,7.7375,true,"F",0,0,1,3
25,26,false,"M",1,0,2,2
25,7.925,false,"F",1,0,2,3
29,211.3375,true,"F",0,0,1,1
